Key, English, Russian
GAMEPLAY_Christmastree, "Christmas tree", "Рождественская ёлка"
GAMEPLAY_ChristmastreeDescription, "A Christmas tree.You can celebrate Christmas in The Long Dark", "Вы можете отпраздновать Рождество в The Long Dark"
GAMEPLAY_Easterbasket, "Egg basket", "Корзина для яиц"
GAMEPLAY_EasterbasketDescription, "A decoration that is placed around Easter time.", "Украшение, которое размещается во время Пасхи."
GAMEPLAY_Toybunny, "Toy bunny", "Игрушечный кролик"
GAMEPLAY_ToybunnyDescription, "A toy bunny.This is placed around Easter time as a decoration.", "Его ставят на Пасху в качестве украшения."
GAMEPLAY_Eggblue, "Blue egg", "Синее яйцо"
GAMEPLAY_EggblueDescription, "A wood egg that is painted blue.", "Деревянное яйцо, окрашенное в синий цвет."
GAMEPLAY_Egggreen, "Green egg", "Зелёное яйцо"
GAMEPLAY_EgggreenDescription, "A wood egg that is painted green.", "Деревянное яйцо, окрашенное в зелёный цвет."
GAMEPLAY_Eggred, "Red egg", "Красное яйцо"
GAMEPLAY_EggredDescription, "A wood egg that is painted red.", "Деревянное яйцо, окрашенное в красный цвет."
GAMEPLAY_Toysanta, "Toy santa", "Игрушечный Санта"
GAMEPLAY_ToysantaDescription, "A toy santa.The single remembrence of Christmas in great bear", "Единственное напоминание о Рождестве в Большом медведе"
GAMEPLAY_Valentinesheart, "Valentine's heart", "Сердце Валентина"
GAMEPLAY_ValentinesheartDescription, "A reminder of Valentine's day. Too bad you have no one to give it to", "Напоминание о дне Святого Валентина. Жаль, что тебе некому его подарить."
GAMEPLAY_Holly, "Holly", "Падуб"
GAMEPLAY_HollyDescription, "The leaves and bright red berries make a popular winter decoration. It is not recomended for eating often.", "Листья и ярко-красные ягоды - популярное зимнее украшение. Не рекомендуется часто употреблять в пищу."
GAMEPLAY_Plantern, "Jack'O Lantern", "Фонарь из тыквы"
GAMEPLAY_PlanternDescription, "The lantern is used as a Halloween decoration.It is made from pumpkins and torches.", "Фонарь используется в качестве украшения на Хэллоуин. Его делают из тыкв и факелов."
GAMEPLAY_Skull, "Skull", "Череп"
GAMEPLAY_SkullDescription, "A skull.At least you won't feel so alone.Or use it as a decoration during the spooky month.", "Хотя бы не будете чувствовать себя совсем одиноким. Можно использовать его в качестве украшения во время жуткого месяца."
GAMEPLAY_Holidaycandy1, "Holiday Candy Bar", "Праздничный бар для конфет"
GAMEPLAY_Holidaycandy1Description, "Trick or treat.You have been nice or naughty?. These candy bars were given to great bear carolers when winter came and was a popular Halloween candy. Now after the first flare the candy bar is the reminder of the prosperous Great Bear", "Кошелёк или жизнь? Ты был хорошим или плохим? Эти леденцы дарили медведям-колядовщикам, когда наступала зима, и они были популярными конфетами на Хэллоуин. Теперь после первой вспышки, леденец напоминает лишь о процветающем Великом медведе."
GAMEPLAY_Star, "Golden Star", "Золотая звезда"
GAMEPLAY_StarDescription, "A golden star.It looks better on a christmas tree", "Она лучше смотрится на рождественской ёлке."
GAMEPLAY_Eyeball, "Eyeball", "Глазное яблоко"
GAMEPLAY_EyeballDescription, "A artificial eyeball. Can be used as an halloween decoration", "Искусственное глазное яблоко. Можно использовать в качестве украшения на Хэллоуин."
GAMEPLAY_Bells, "Christmas bells", "Рождественские колокольчики"
GAMEPLAY_BellsDescription, "Christmas bells that can bring festive joy", "Могут принести праздничную радость."
GAMEPLAY_Candycorn, "Candy corn", "Конфетная кукуруза"
GAMEPLAY_CandycornDescription, "Something that looks like corn. It is used as a halloween decoration", "Что-то похожее на кукурузу. Используется в качестве украшения на Хэллоуин."
GAMEPLAY_Halloweencandy, "Spooky candy", "Страшная конфета"
GAMEPLAY_HalloweencandyDescription, "A candy usualy given by halloween time", "Конфета, которую обычно дают на Хэллоуин."
